City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Puerto Ayora,75,EC,1584203844,78,-0.74,-90.35,302.04,2.6
Saint-Philippe,20,RE,1584203844,83,-21.36,55.77,299.15,7.7
Yellowknife,75,CA,1584203844,69,62.46,-114.35,252.59,5.1
Mataura,85,NZ,1584203844,84,-46.19,168.86,284.82,1.79
Massaguet,0,TD,1584203845,7,12.48,15.44,306.15,4.6
Shizunai-furukawachō,32,JP,1584203845,73,42.33,142.37,265.54,2.08
Vaini,75,TO,1584203587,100,-21.2,-175.2,298.15,2.1
Sandnessjøen,100,NO,1584203845,64,66.02,12.63,275.15,9.8
Dikson,73,RU,1584203845,98,73.51,80.55,248.34,5.56
Aklavik,90,CA,1584203845,78,68.22,-135.01,268.15,1
New Norfolk,90,AU,1584203845,71,-42.78,147.06,286.15,3.1
Nouadhibou,0,MR,1584203846,54,20.93,-17.03,299.15,7.2
Polyarny,40,RU,1584203584,66,69.2,33.45,263.15,2
Ushuaia,75,AR,1584203578,71,-54.8,-68.3,284.15,5.7
Hilo,75,US,1584203846,83,19.73,-155.09,294.15,1.6
Tasiilaq,20,GL,1584203591,71,65.61,-37.64,260.15,1
Hermanus,26,ZA,1584203846,84,-34.42,19.23,294.26,1.34
Sitka,1,US,1584203846,86,57.05,-135.33,271.15,0.9
Wilkie,75,CA,1584203847,64,52.42,-108.7,257.59,6.7
Lebu,0,CL,1584203847,42,-37.62,-73.65,292.34,5.76
Rikitea,65,PF,1584203579,78,-23.12,-134.97,298.44,6.29
Torbay,90,CA,1584203625,93,47.67,-52.73,278.71,10.8
Mar del Plata,100,AR,1584203847,56,-38,-57.56,295.37,4.6
Saldanha,31,ZA,1584203847,57,-33.01,17.94,297.15,6.7
Alofi,100,NU,1584203847,94,-19.06,-169.92,298.15,1.5
Thaba-Tseka,80,LS,1584203847,55,-29.52,28.61,284.64,3.48
Butaritari,100,KI,1584203578,70,3.07,172.79,301.64,3.54
Kropotkin,20,RU,1584203848,62,45.44,40.58,284.26,4.52
Tuatapere,100,NZ,1584203848,84,-46.13,167.68,284.82,1.79
Busselton,83,AU,1584203848,98,-33.65,115.33,292.59,5.93
Tuktoyaktuk,90,CA,1584203635,79,69.45,-133.04,268.15,11.3
Port Alfred,25,ZA,1584203848,88,-33.59,26.89,293.15,1.79
Tilichiki,95,RU,1584203848,83,60.47,166.1,270.34,7.64
Cidreira,0,BR,1584203602,79,-30.18,-50.21,297.84,5.65
Takoradze,87,GH,1584203849,77,4.88,-1.76,301.34,3.01
Fare,1,PF,1584203849,76,-16.7,-151.02,301.44,7.07
Burlington,1,US,1584203788,27,39.88,-74.64,285.93,5.1
Barrow,90,US,1584203849,92,71.29,-156.79,270.15,10.8
Avarua,82,CK,1584203701,100,-21.21,-159.78,296.15,0.5
Punta Arenas,75,CL,1584203849,76,-53.15,-70.92,286.15,8.2
Fukuechō,40,JP,1584203849,49,32.69,128.84,282.15,7.2
Jamestown,1,US,1584203850,69,42.1,-79.24,277.59,2.74
Isangel,100,VU,1584203850,88,-19.55,169.27,299.15,2.6
Hobart,90,AU,1584203623,71,-42.88,147.33,285.15,2.1
Atar,0,MR,1584203850,19,20.52,-13.05,308.15,3.1
Buala,97,SB,1584203850,86,-8.14,159.59,300.24,4.79
Saint Paul Harbor,1,US,1584203603,78,57.79,-152.41,265.15,3.1
Bluff,95,NZ,1584203584,84,-46.6,168.33,284.82,1.79
Guerrero Negro,0,MX,1584203851,61,27.98,-114.06,291.64,3.27
Tiksi,0,RU,1584203600,79,71.69,128.87,247.04,3.95
Nelson Bay,75,AU,1584203851,68,-32.72,152.15,292.59,7.7
Garoua Boulaï,12,CM,1584203851,22,5.88,14.55,298.04,1.17
Hondomachi-hondo,16,JP,1584203851,52,32.45,130.2,283.64,9.85
Xinzhi,0,CN,1584203851,29,36.5,111.7,276.94,2.55
Mahébourg,40,MU,1584203852,83,-20.41,57.7,299.15,1.5
Atuona,2,PF,1584203852,73,-9.8,-139.03,300.74,5.01
Nikolskoye,40,RU,1584203852,50,59.7,30.79,271.48,10
Chui,1,UY,1584203852,42,-33.7,-53.46,306.14,2.39
Charleston,90,US,1584203800,45,32.78,-79.93,296.15,5.7
Carnarvon,75,AU,1584203602,83,-24.87,113.63,299.15,5.1
Jacmel,20,HT,1584203852,48,18.23,-72.53,303.15,3.6
Ouallam,0,NE,1584203852,7,14.32,2.09,305.04,4.26
Tchibanga,97,GA,1584203853,91,-2.85,11.03,298.84,1.26
Gagra,90,GE,1584203853,100,43.33,40.22,284.82,2
Harper,52,LR,1584203853,90,4.38,-7.72,300.14,1.94
